[map]
l1* l0 350.6251559714448
l2 l0 289.44256770558127
l2 l1 279.30807363912703
l3 l0 407.82962128810607
l3 l1 219.40145851839728
l3 l2 471.2218161333365
l4 l0 307.6897788357618
l4 l1 204.50183373260984
l4 l2 81.05553651663777
l4 l3 408.48010967487755
l5 l0 87.31551981177229
l5 l1 282.19496806286253
l5 l2 207.4728897952694
l5 l3 381.13645850272576
l5 l4 220.42912693199145
l6 l0 466.56725131539184
l6 l1 177.39503938949363
l6 l2 456.0745553086688
l6 l3 117.65202930676547
l6 l4 381.87170620510756
l6 l5 419.6200662504118

[distr]
o0 l5 0.05578726698445889 l4 0.03248549579725628 l3 0.30412418616764375 l0 0.5582188606635209 l2 0.0493841903871201 
o1 l3 0.011527748276339784 l6 0.1492054637124941 l4 0.31187365758552515 l5 0.24771311227675843 l2 0.27968001814888255 
o2 l0 0.4784614768126279 l1 0.14525629825635675 l5 0.0128439769089691 l6 0.11931779030229149 l2 0.03183696185581576 l4 0.21228349586393902 
o3 l5 1.0 
o4 l1 0.1410869247258554 l4 0.2457467974966777 l0 0.03805787740384231 l6 0.18573763335060678 l3 0.035248806498761345 l2 0.3541219605242564 
o5 l2 0.3383069587401323 l0 0.6616930412598677 
o6 l2 1.0 
